day,max_temp,min_temp
5th sep,67.8,49.7
6th sep,77.5,38.0
7th sep,79.6,43.3
8th sep,81.4,36.1
9th sep,78.3,38.3
10th sep,63.8,42.0
11th sep,45.8,20.4
12th sep,57.6,20.4
13th sep,68.4,28.9
14th sep,72.5,32.8
15th sep,73.9,36.6
16th sep,67.8,43.1
17th sep,72.0,42.5
18th sep,66.8,35.5
19th sep,68.5,35.0
20th sep,68.4,36.5
21th sep,67.6,33.2
22th sep,71.8,28.1
23th sep,73.8,31.1
24th sep,76.3,32.1
25th sep,75.9,37.6
26th sep,73.6,42.0
27th sep,76.6,32.4
1th oct,74.1,35.3
2th oct,66.5,34.2
3th oct,54.0,34.5
4th oct,60.5,38.6
5th oct,63.7,34.1
6th oct,48.7,27.8
7th oct,65.1,23.6
8th oct,69.8,25.5
9th oct,71.0,26.4
10th oct,69.5,24.9
11th oct,59.9,36.8
12th oct,49.0,34.0
13th oct,49.2,22.5
14th oct,57.8,20.7
15th oct,60.4,29.1
16th oct,67.6,25.6
17th oct,76.0,30.5
18th oct,68.3,48.3
19th oct,76.1,46.1
20th oct,76.3,37.3
21th oct,73.2,26.9
22th oct,71.0,30.3
23th oct,70.5,26.8
24th oct,62.7,27.1
25th oct,63.7,25.5
26th oct,61.4,37.3
27th oct,48.7,22.0
28th oct,26.5,15.6
29th oct,20.9,-0.0
30th oct,37.1,-4.6
31th oct,48.9,6.8
1th nov,51.8,34.2
2th nov,51.3,33.9
3th nov,56.6,39.2
4th nov,58.7,34.2
5th nov,62.7,45.6
6th nov,61.9,33.3
7th nov,59.8,36.1
8th nov,36.4,23.5
9th nov,40.7,16.2
10th nov,45.6,15.4
11th nov,47.3,24.3
12th nov,57.5,22.1
13th nov,59.8,17.3
14th nov,59.5,31.3
15th nov,60.4,36.1
16th nov,51.6,37.6
17th nov,52.9,25.3
18th nov,53.7,23.0
19th nov,44.1,29.8
20th nov,38.7,21.6
21th nov,57.1,13.7
22th nov,58.2,19.1
23th nov,36.5,15.1
24th nov,16.0,3.6
25th nov,27.5,7.8
26th nov,35.4,9.8
27th nov,35.5,10.9
28th nov,49.0,15.9
29th nov,44.0,10.1
30th nov,34.1,14.1
1th dec,33.2,12.1
2th dec,28.0,19.6
3th dec,35.0,23.9
4th dec,44.7,34.2
5th dec,49.6,36.4
6th dec,58.8,32.4
7th dec,47.8,30.9
8th dec,31.7,19.7
9th dec,26.9,10.6
10th dec,36.5,21.4
11th dec,45.0,28.9
12th dec,33.3,23.3
13th dec,36.0,22.6
14th dec,44.5,14.9
15th dec,46.5,23.9
16th dec,48.6,34.1
17th dec,49.4,18.1
18th dec,55.2,14.6
19th dec,39.3,30.7
20th dec,50.6,26.2
21th dec,48.2,26.5
22th dec,48.7,24.3
23th dec,45.6,25.6
24th dec,27.2,2.0
25th dec,23.4,0.2
26th dec,33.4,19.1
27th dec,40.1,13.7
28th dec,50.9,10.1
29th dec,52.3,7.5
30th dec,48.8,21.9
31th dec,44.3,13.7
